Definition	Acronym	AcronymID
Federal Register Document Tracking System                                                                                                                                                                                                                                                                                                                                                                       	FRDTS                              	267
federal standard (U.S.)                                                                                                                                                                                                                                                                                                                                                                                         	FS                                 	268
follicle-stimulating hormone                                                                                                                                                                                                                                                                                                                                                                                    	FSH                                	269
Food Safety Initiative (CFSAN)                                                                                                                                                                                                                                                                                                                                                                                  	FSI                                	270
Food Safety and Inspection Service (USDA)                                                                                                                                                                                                                                                                                                                                                                       	FSIS                               	271
Federal Trade Commission (U.S.)                                                                                                                                                                                                                                                                                                                                                                                 	FTC                                	272
full-time equivalent                                                                                                                                                                                                                                                                                                                                                                                            	FTE                                	273
file transfer protocol                                                                                                                                                                                                                                                                                                                                                                                          	FTP                                	274
Federal Telecommunications System                                                                                                                                                                                                                                                                                                                                                                               	FTS                                	275
fiscal year                                                                                                                                                                                                                                                                                                                                                                                                     	FY                                 	276
Greater Access to Affordable Pharmaceuticals Act of 2003                                                                                                                                                                                                                                                                                                                                                        	GAAP                               	277
Generlc Animal Drug and Patent Term Restoration Act                                                                                                                                                                                                                                                                                                                                                             	GADPTRA                            	278
good automated manufacturing practice                                                                                                                                                                                                                                                                                                                                                                           	GAMP                               	279
Government Accountability Office (U.S.)                                                                                                                                                                                                                                                                                                                                                                         	GAO                                	280
good agricultural practices                                                                                                                                                                                                                                                                                                                                                                                     	GAPS                               	281
General Agreement of Tariffs and Trade                                                                                                                                                                                                                                                                                                                                                                          	GATT                               	282
general counsel (FDA)                                                                                                                                                                                                                                                                                                                                                                                           	GC                                 	283
gas chromatography                                                                                                                                                                                                                                                                                                                                                                                              	GC                                 	284
good clinical laboratory practice                                                                                                                                                                                                                                                                                                                                                                               	GCLP                               	285
good clinical practice                                                                                                                                                                                                                                                                                                                                                                                          	GCP                                	286
Generic Drug Enforcement Act of 1992                                                                                                                                                                                                                                                                                                                                                                            	GDEA                               	287
good engineering practice                                                                                                                                                                                                                                                                                                                                                                                       	GEP                                	288
good guidance practice                                                                                                                                                                                                                                                                                                                                                                                          	GGP                                	289
Globally Harmonised System of Classification and Labelling of Chemicals (UN)                                                                                                                                                                                                                                                                                                                                    	GHS                                	290
gastrointestinal                                                                                                                                                                                                                                                                                                                                                                                                	GI                                 	292
graphics interchange format                                                                                                                                                                                                                                                                                                                                                                                     	GIF                                	293
Government Information Locator Service                                                                                                                                                                                                                                                                                                                                                                          	GILS                               	294
good laboratory practice                                                                                                                                                                                                                                                                                                                                                                                        	GLP                                	295
Global Medical Device Nomenclature                                                                                                                                                                                                                                                                                                                                                                              	GMDN                               	296
good manufacturing practice                                                                                                                                                                                                                                                                                                                                                                                     	GMP                                	297
government off-the-shelf                                                                                                                                                                                                                                                                                                                                                                                        	GOTS                               	298
Government Paperwork Elimination Act                                                                                                                                                                                                                                                                                                                                                                            	GPEA                               	299
Government Printing Office (U.S.)                                                                                                                                                                                                                                                                                                                                                                               	GPO                                	301
group purchasing organization                                                                                                                                                                                                                                                                                                                                                                                   	GPO                                	302
Government Performance Results Act of 1993                                                                                                                                                                                                                                                                                                                                                                      	GPRA                               	303
generally recognized as safe                                                                                                                                                                                                                                                                                                                                                                                    	GRAS                               	304
generally recognized as safe and effective                                                                                                                                                                                                                                                                                                                                                                      	GRAS/E                             	305
good review practice                                                                                                                                                                                                                                                                                                                                                                                            	GRP                                	306
general records schedule                                                                                                                                                                                                                                                                                                                                                                                        	GRS                                	307
General Services Administration (U.S.)                                                                                                                                                                                                                                                                                                                                                                          	GSA                                	308
general standard for food additives                                                                                                                                                                                                                                                                                                                                                                             	GSFA                               	309
graphical user interface                                                                                                                                                                                                                                                                                                                                                                                        	GUI                                	310
"good x"" practices                                                                                                                                                                                                                                                                                                                                                                                              """	GxP                                	311
hazard analysis critical control point                                                                                                                                                                                                                                                                                                                                                                          	HACCP                              	312
Health Action International                                                                                                                                                                                                                                                                                                                                                                                     	HAI                                	313
hazardous material                                                                                                                                                                                                                                                                                                                                                                                              	HAZMAT                             	314
hazard and operability                                                                                                                                                                                                                                                                                                                                                                                          	HAZOP                              	315
Health Care Financing Administration (now CMS)                                                                                                                                                                                                                                                                                                                                                                  	HCFA                               	316
humanitarian use exemptions (CDRH)                                                                                                                                                                                                                                                                                                                                                                              	HDE                                	317
high efficiency particulate air (filter)                                                                                                                                                                                                                                                                                                                                                                        	HEPA                               	318
mail code for FDA Office of the Commissioner                                                                                                                                                                                                                                                                                                                                                                    	HF                                 	319
mail code for CDER                                                                                                                                                                                                                                                                                                                                                                                              	HFD                                	320
mail code for CBER                                                                                                                                                                                                                                                                                                                                                                                              	HFM                                	321
mail code for CFSAN                                                                                                                                                                                                                                                                                                                                                                                             	HFS                                	322
mail code for NCTR                                                                                                                                                                                                                                                                                                                                                                                              	HFT                                	323
mail code for CVM                                                                                                                                                                                                                                                                                                                                                                                               	HFV                                	324
mail code for CDRH                                                                                                                                                                                                                                                                                                                                                                                              	HFZ                                	325
Health and Human Services (U.S. Department of)                                                                                                                                                                                                                                                                                                                                                                  	HHS                                	326
Healthcare Information Management Systems Society                                                                                                                                                                                                                                                                                                                                                               	HIMSS                              	327
Health Level 7                                                                                                                                                                                                                                                                                                                                                                                                  	HL7                                	329
health maintenance organization                                                                                                                                                                                                                                                                                                                                                                                 	HMO                                	330
Health Products and Food Branch (Canada's FDA)                                                                                                                                                                                                                                                                                                                                                                  	HPFB                               	331
high performance liquid chromatography                                                                                                                                                                                                                                                                                                                                                                          	HPLC                               	332
human resources                                                                                                                                                                                                                                                                                                                                                                                                 	HR                                 	333
health research group                                                                                                                                                                                                                                                                                                                                                                                           	HRG                                	334
Human Research Review Committee                                                                                                                                                                                                                                                                                                                                                                                 	HRRC                               	335
Health Resources and Services Administration (DHHS)                                                                                                                                                                                                                                                                                                                                                             	HRSA                               	336
health technical memorandum                                                                                                                                                                                                                                                                                                                                                                                     	HTM                                	337
hypertext markup language                                                                                                                                                                                                                                                                                                                                                                                       	HTML                               	338
hypertext transfer protocol                                                                                                                                                                                                                                                                                                                                                                                     	HTTP                               	339
humanitarian use device (CDER)                                                                                                                                                                                                                                                                                                                                                                                  	HUD                                	340
"heating, ventilating, and air conditioning                                                                                                                                                                                                                                                                                                                                                                      "	HVAC                               	341
history                                                                                                                                                                                                                                                                                                                                                                                                         	Hx                                 	342
Institutional Animal Care and Use Committee                                                                                                                                                                                                                                                                                                                                                                     	IACUC                              	343
International Agency for Research on Cancer (WHO)                                                                                                                                                                                                                                                                                                                                                               	IARC                               	344
International Air Transport Association                                                                                                                                                                                                                                                                                                                                                                         	IATA                               	345
informed consent                                                                                                                                                                                                                                                                                                                                                                                                	IC                                 	346
intelligent console architecture                                                                                                                                                                                                                                                                                                                                                                                	ICA                                	347
International Cooperative Agreements Manual                                                                                                                                                                                                                                                                                                                                                                     	ICAM                               	348
International Civil Aviation Organization                                                                                                                                                                                                                                                                                                                                                                       	ICAO                               	349
informed consent document                                                                                                                                                                                                                                                                                                                                                                                       	ICD                                	350
"International Classification of Diseases, Ninth Revision, Clinical Modification                                                                                                                                                                                                                                                                                                                                 "	ICD-9-CM                           	351
International Conference on Harmonisation (of Technical Requirements for Registration of Pharmaceuticals for Human Use)                                                                                                                                                                                                                                                                                         	ICH                                	352
International Commission for Protection Against Environmental Mutagens and Carcinogens                                                                                                                                                                                                                                                                                                                          	ICPEMC                             	353
Individual Case Safety Reports                                                                                                                                                                                                                                                                                                                                                                                  	ICSR                               	354
investigational device exemption (CDRH)                                                                                                                                                                                                                                                                                                                                                                         	IDE                                	355
idiosyncratic drug reaction                                                                                                                                                                                                                                                                                                                                                                                     	IDR                                	356
Institute of Electrical and Electronics Engineers                                                                                                                                                                                                                                                                                                                                                               	IEEE                               	357
investigational food additive (file)                                                                                                                                                                                                                                                                                                                                                                            	IFA                                	358
International Food Additives Database (CFSAN)                                                                                                                                                                                                                                                                                                                                                                   	IFAD                               	359
inspector general                                                                                                                                                                                                                                                                                                                                                                                               	IG                                 	360
Indian Health Service (DHHS)                                                                                                                                                                                                                                                                                                                                                                                    	IHS                                	361
internet information officer                                                                                                                                                                                                                                                                                                                                                                                    	IIS                                	362
Intramuscular                                                                                                                                                                                                                                                                                                                                                                                                   	IM                                 	363
International Maritime Dangerous Goods Code                                                                                                                                                                                                                                                                                                                                                                     	IMDG                               	364
International Maritime Organisation                                                                                                                                                                                                                                                                                                                                                                             	IMO                                	365
International Merchant Purchase Authorization Card                                                                                                                                                                                                                                                                                                                                                              	IMPAC                              	366
investigational medicinal product                                                                                                                                                                                                                                                                                                                                                                               	IMP                                	367
Information Management System                                                                                                                                                                                                                                                                                                                                                                                   	IMS                                	368
Industry Meeting Tracking System                                                                                                                                                                                                                                                                                                                                                                                	IMTS                               	369
investigational new animal drug                                                                                                                                                                                                                                                                                                                                                                                 	INAD                               	370
investigational new animal drug application                                                                                                                                                                                                                                                                                                                                                                     	INADA                              	371
investigational new drug                                                                                                                                                                                                                                                                                                                                                                                        	IND                                	372
